repo_full_name,kind,number_or_sha,project_dir,title,linked_issues,kicad_pcb,kicad_sch,kicad_pro,kicad_lines,semantic_lines,body_clean_chars,html_url
nielsverhoeven/PoE-FanController,commit,fa6f94df34b04ca562c6f43b6edd90c5ac8253a2,hardware/kicad,hw(pcb): use Custom:RJ45_Wuerth_615008144521 footprint to fix lib_footprint_issues (#40),[40],1,1,0,13,12,766,https://github.com/nielsverhoeven/PoE-FanController/commit/fa6f94df34b04ca562c6f43b6edd90c5ac8253a2
nielsverhoeven/PoE-FanController,pull_request,32,hardware/kicad,fix(hardware): complete schematic-readability gaps -- NTC_ADC fix and ERC JSON refresh,[25],1,1,0,2637,1858,1364,https://github.com/nielsverhoeven/PoE-FanController/pull/32
nielsverhoeven/PoE-FanController,pull_request,39,hardware/kicad,"CI: fix broken workflows — KiCad PPA, release.yml leftover, Node.js 20 deprecation, copilot-setup-steps",[33],1,1,1,3039,2260,1100,https://github.com/nielsverhoeven/PoE-FanController/pull/39
nielsverhoeven/PoE-FanController,pull_request,79,hardware/kicad,fix(hw): sync PCB footprint paths — U_BOOST no longer unplaced after F8 (issue #77),[77],1,1,1,523,465,1247,https://github.com/nielsverhoeven/PoE-FanController/pull/79
nielsverhoeven/PoE-FanController,pull_request,80,hardware/kicad,hw(pcb): even fan header spacing,[78],1,0,0,72,72,525,https://github.com/nielsverhoeven/PoE-FanController/pull/80
nielsverhoeven/PoE-FanController,pull_request,92,hardware/kicad,hw+fw: orange prog/OTA LED (issue #89),[89],1,1,0,707,502,785,https://github.com/nielsverhoeven/PoE-FanController/pull/92
nielsverhoeven/PoE-FanController,pull_request,134,hardware/kicad,fix(hw): correct J8 pin layout to consecutive columns (#133),[133],1,1,1,1221,1090,1041,https://github.com/nielsverhoeven/PoE-FanController/pull/134
nielsverhoeven/PoE-FanController,pull_request,136,hardware/kicad,feat: replace NTC1 thermistor with DHT11 temperature+humidity sensor (#135),[135],1,1,0,969,701,854,https://github.com/nielsverhoeven/PoE-FanController/pull/136
nielsverhoeven/PoE-FanController,pull_request,138,hardware/kicad,hw(sch): move 5V power source from J8 pin 39 (VSYS) to pin 40 (VBUS),[137],1,1,1,647,647,552,https://github.com/nielsverhoeven/PoE-FanController/pull/138
oaslananka/kicad-studio-kit,pull_request,92,examples/led-basic,docs(test): define quality gate strategy,[36],1,1,0,1904,656,2542,https://github.com/oaslananka/kicad-studio-kit/pull/92
ohmtech-rdi/eurorack-blocks,pull_request,384,boards/kivu12/hardware,Pretty net names,[374],1,0,0,868,868,141,https://github.com/ohmtech-rdi/eurorack-blocks/pull/384
open-ephys/ephys-test-board,pull_request,45,pcb,Add bypass for battery protection circuit,[41],1,1,1,693,499,112,https://github.com/open-ephys/ephys-test-board/pull/45
open-ephys/onix-headstage-rhs2116,commit,ba2b25deefb6f5ab58912827e0176de6d206ec3d,pcb,Minor routing changes,[2],1,2,0,115,103,102,https://github.com/open-ephys/onix-headstage-rhs2116/commit/ba2b25deefb6f5ab58912827e0176de6d206ec3d
rjwalters/kicad-tools,commit,16bbaf6753867db7923751bd7196f8c3babccc5e,boards/03-usb-joystick/output,fix(board-03): place crystal on MCU XTAL-pin side (closes #2918) (#2924),"[2744, 2918, 2919, 2940, 2943]",2,0,0,1380,974,6779,https://github.com/rjwalters/kicad-tools/commit/16bbaf6753867db7923751bd7196f8c3babccc5e
rjwalters/kicad-tools,commit,1be7e07f0f682d602306b5179cf73d3077372402,boards/06-diffpair-test/output,fix(router): pathfinder honors diff-pair corridor reservations (closes #2911) (#2938),"[2661, 2677, 2911, 2912]",1,0,0,358,38,5704,https://github.com/rjwalters/kicad-tools/commit/1be7e07f0f682d602306b5179cf73d3077372402
rjwalters/kicad-tools,commit,37876dc28ac6475953b7376c83ca21b4eff8e9ae,boards/04-stm32-devboard/output,"feat(router,board-04): --micro-via stitch + --strict-in-pad-clearance opt-in (closes #3033) (#3038)",[3033],2,1,0,1020,608,6588,https://github.com/rjwalters/kicad-tools/commit/37876dc28ac6475953b7376c83ca21b4eff8e9ae
rjwalters/kicad-tools,commit,82a9525ec6d0004ff10d6a30b2d180fec8660301,boards/00-simple-led/output,feat(pcb): auto-size drawing sheet to board + center (page_fit) (#3715),"[3509, 3714]",1,0,0,38,36,5168,https://github.com/rjwalters/kicad-tools/commit/82a9525ec6d0004ff10d6a30b2d180fec8660301
rjwalters/kicad-tools,commit,82a9525ec6d0004ff10d6a30b2d180fec8660301,boards/01-voltage-divider/output,feat(pcb): auto-size drawing sheet to board + center (page_fit) (#3715),"[3509, 3714]",1,0,0,82,80,5168,https://github.com/rjwalters/kicad-tools/commit/82a9525ec6d0004ff10d6a30b2d180fec8660301
rjwalters/kicad-tools,pull_request,2698,boards/05-bldc-motor-controller/output,fix(board-05): re-tune placement for 35-net density (courtyard + fanout),"[2681, 2682]",1,0,0,350,238,4905,https://github.com/rjwalters/kicad-tools/pull/2698
rjwalters/kicad-tools,pull_request,2716,boards/01-voltage-divider/output,"feat: bump PCB writer to KiCad 10 format (version 20260206, generator_version 10.0)","[2672, 2677, 2707]",2,1,0,2468,1560,5131,https://github.com/rjwalters/kicad-tools/pull/2716
rjwalters/kicad-tools,pull_request,2716,boards/02-charlieplex-led/output,"feat: bump PCB writer to KiCad 10 format (version 20260206, generator_version 10.0)","[2672, 2677, 2707]",2,1,0,1510,956,5131,https://github.com/rjwalters/kicad-tools/pull/2716
rjwalters/kicad-tools,pull_request,2716,boards/06-diffpair-test/output,"feat: bump PCB writer to KiCad 10 format (version 20260206, generator_version 10.0)","[2672, 2677, 2707]",2,1,0,838,386,5131,https://github.com/rjwalters/kicad-tools/pull/2716
rjwalters/kicad-tools,pull_request,2767,boards/06-diffpair-test/output,fix(router): block pad-metal cells from chamfering + surface skipped-pour-net pad clearance violations,"[2660, 2677, 2755, 2756, 2757, 2758]",1,0,0,356,48,7209,https://github.com/rjwalters/kicad-tools/pull/2767
rjwalters/kicad-tools,pull_request,2924,boards/03-usb-joystick/output,fix(board-03): place crystal on MCU XTAL-pin side (closes #2918),"[2918, 2919, 2923, 2940]",2,0,0,1380,974,8146,https://github.com/rjwalters/kicad-tools/pull/2924
rjwalters/kicad-tools,pull_request,2938,boards/06-diffpair-test/output,fix(router): pathfinder honors diff-pair corridor reservations (closes #2911),"[2661, 2677, 2911, 2912]",1,0,0,358,38,5817,https://github.com/rjwalters/kicad-tools/pull/2938
rjwalters/kicad-tools,pull_request,2954,boards/03-usb-joystick/output,fix(board-03): nudge J2 west 2mm to clear JOY_Y channel (closes #2943),"[2918, 2919, 2943]",2,0,0,1846,1206,6575,https://github.com/rjwalters/kicad-tools/pull/2954
rjwalters/kicad-tools,pull_request,3038,boards/04-stm32-devboard/output,"feat(router,board-04): --micro-via stitch + --strict-in-pad-clearance opt-in (closes #3033)",[3033],2,1,0,1020,608,7646,https://github.com/rjwalters/kicad-tools/pull/3038
rjwalters/kicad-tools,pull_request,3537,boards/01-voltage-divider/output,fix(router): 45° quantization in post-route mutation passes (closes #3532),"[3495, 3530, 3532, 3535, 3545]",1,0,0,60,48,7060,https://github.com/rjwalters/kicad-tools/pull/3537
rjwalters/kicad-tools,pull_request,3537,boards/02-charlieplex-led/output,fix(router): 45° quantization in post-route mutation passes (closes #3532),"[3495, 3530, 3532, 3535, 3545]",1,0,0,420,336,7060,https://github.com/rjwalters/kicad-tools/pull/3537
rjwalters/kicad-tools,pull_request,3537,boards/03-usb-joystick/output,fix(router): 45° quantization in post-route mutation passes (closes #3532),"[3495, 3530, 3532, 3535, 3545]",1,0,0,340,272,7060,https://github.com/rjwalters/kicad-tools/pull/3537
rjwalters/kicad-tools,pull_request,3537,boards/04-stm32-devboard/output,fix(router): 45° quantization in post-route mutation passes (closes #3532),"[3495, 3530, 3532, 3535, 3545]",1,0,0,310,244,7060,https://github.com/rjwalters/kicad-tools/pull/3537
rjwalters/kicad-tools,pull_request,3537,boards/05-bldc-motor-controller/output,fix(router): 45° quantization in post-route mutation passes (closes #3532),"[3495, 3530, 3532, 3535, 3545]",1,0,0,1092,872,7060,https://github.com/rjwalters/kicad-tools/pull/3537
rjwalters/kicad-tools,pull_request,3537,boards/06-diffpair-test/output,fix(router): 45° quantization in post-route mutation passes (closes #3532),"[3495, 3530, 3532, 3535, 3545]",1,0,0,560,448,7060,https://github.com/rjwalters/kicad-tools/pull/3537
sabas0ba/kicad_skills,pull_request,21,examples/motor-driver/reviewed,"Fix the pour rules' via merging, the tapered and chamfered pad masks, and the rim stitcher","[19, 20]",1,0,0,912,314,6956,https://github.com/sabas0ba/kicad_skills/pull/21
sabas0ba/kicad_skills,pull_request,21,examples/opamp-filter/reviewed,"Fix the pour rules' via merging, the tapered and chamfered pad masks, and the rim stitcher","[19, 20]",1,0,0,798,212,6956,https://github.com/sabas0ba/kicad_skills/pull/21
sabas0ba/kicad_skills,pull_request,21,examples/pico-carrier/reviewed,"Fix the pour rules' via merging, the tapered and chamfered pad masks, and the rim stitcher","[19, 20]",1,0,0,670,328,6956,https://github.com/sabas0ba/kicad_skills/pull/21
scottbez1/smartknob,commit,5316810d83d51b228a918e90d30ca8a9d04191c4,electronics/view_screen,"Remove ""service loop"" silkscreen marks from screen pcb","[10, 11]",1,0,0,508,486,266,https://github.com/scottbez1/smartknob/commit/5316810d83d51b228a918e90d30ca8a9d04191c4
solderparty/flexypin_adapters_hw,pull_request,3,ESP32-C3-WROOM_flexypin,Backport to KiCad v6 stable,[2],1,1,0,148,144,848,https://github.com/solderparty/flexypin_adapters_hw/pull/3
solderparty/flexypin_adapters_hw,pull_request,3,ESP32-S2_S3-WROOM_flexypin,Backport to KiCad v6 stable,[2],1,1,0,154,150,848,https://github.com/solderparty/flexypin_adapters_hw/pull/3
solderparty/flexypin_adapters_hw,pull_request,3,ESP32-WROOM_flexypin,Backport to KiCad v6 stable,[2],1,0,0,148,146,848,https://github.com/solderparty/flexypin_adapters_hw/pull/3
solderparty/flexypin_adapters_hw,pull_request,3,RFM9x_flexypin,Backport to KiCad v6 stable,[2],1,0,0,136,134,848,https://github.com/solderparty/flexypin_adapters_hw/pull/3
spacelab-ufsc/pc104-adapter,commit,72978706ff397f3ddf600666e1ed5b88997e9526,,bottom-board: layout: Fixing the PC-104 outline (silk screen) and adding a label with the board name and version #3,[3],1,0,0,859,834,115,https://github.com/spacelab-ufsc/pc104-adapter/commit/72978706ff397f3ddf600666e1ed5b88997e9526
spacelab-ufsc/slcam,commit,f988e8f148d8378fffdb8ef196c04ce509d785f3,hardware,hardware: Adding the project name/version and the SpaceLab logo to the PCB #23 #29 closes #38 closes #42,"[23, 29, 38, 42]",1,0,0,830,822,104,https://github.com/spacelab-ufsc/slcam/commit/f988e8f148d8378fffdb8ef196c04ce509d785f3
sporniket/kicad-conversions--thomson-mo5--v1,commit,49f1bb90835dbcb30fe2be444fdeb0413e2652f3,,Issue #1 -- Small corrections for beta2 -- exclude copper pour around internal mounting holes (front layer),[1],1,0,0,370,364,107,https://github.com/sporniket/kicad-conversions--thomson-mo5--v1/commit/49f1bb90835dbcb30fe2be444fdeb0413e2652f3
sporniket/kicad-conversions--thomson-mo5--v1,commit,71a3cfcf3dcfeb7a5c40fab19e24c7a8c1f313b6,,"Issue #1 -- Small corrections for beta2 -- tweak the width of the pads of the extension connector, from 2mm to 1.5mm",[1],1,1,0,569,485,116,https://github.com/sporniket/kicad-conversions--thomson-mo5--v1/commit/71a3cfcf3dcfeb7a5c40fab19e24c7a8c1f313b6
sporniket/kicad-conversions--thomson-mo5--v1,commit,98fa3b447d7a410515cba9e2ffb4e083ef20c325,,Issue #2 -- Small enhancements for beta2 -- enlarge vias for modding cartridge port to get E and R/W + fixes DRC,[2],1,0,0,414,414,112,https://github.com/sporniket/kicad-conversions--thomson-mo5--v1/commit/98fa3b447d7a410515cba9e2ffb4e083ef20c325
sporniket/kicad-conversions--thomson-mo5--v1,commit,a3978f9ad53fd90786608acb07101e1149e397d4,,Issue #1 -- Small corrections for beta2 -- prevent a small copper pour of GND inside the extension connector,[1],1,0,1,162,159,108,https://github.com/sporniket/kicad-conversions--thomson-mo5--v1/commit/a3978f9ad53fd90786608acb07101e1149e397d4
sporniket/kicad-conversions--thomson-mo5--v1,commit,cdae1cfef9f894704dd05383b2d2f32c0030a9e3,,"Issue #1 -- Small corrections for beta2 -- wider lateral chamfers for extension connector, set to 1mm along x and y axis",[1],1,0,0,10,10,120,https://github.com/sporniket/kicad-conversions--thomson-mo5--v1/commit/cdae1cfef9f894704dd05383b2d2f32c0030a9e3
starlightk7/OpenSFC,commit,4c84839f8d908c02b13626e36dcee8eb9483463d,Front Panels/TCMK-81X CCK-N10/Rev A,Fix Issue #4: SFC Controller Board LED Footprint,[4],1,0,1,905,621,414,https://github.com/starlightk7/OpenSFC/commit/4c84839f8d908c02b13626e36dcee8eb9483463d
sufst/pcb,pull_request,57,vcu,fix(vcu): drive output optocoupler signals at 12V instead of 3.3V,[55],1,5,0,251,177,442,https://github.com/sufst/pcb/pull/57
sufst/pcb,pull_request,81,hv-sense,release(hvs): v1.1.0,[80],1,0,1,34,30,325,https://github.com/sufst/pcb/pull/81
v3l0c1r4pt0r/ucm4,commit,f6d526cdec464bf47ae0955d23543a071a667ce2,,Change location of TP5,[1],1,0,0,12,12,228,https://github.com/v3l0c1r4pt0r/ucm4/commit/f6d526cdec464bf47ae0955d23543a071a667ce2
z5labs/devex,pull_request,178,daggerverse/kicad/tests/fixtures/blinky,story(issue-159): add kicad -full image and long-tail exports,"[156, 159]",1,0,0,11,7,2516,https://github.com/z5labs/devex/pull/178
